[23:13:36:022] [main/INFO]: Start server
[23:15:39:559] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:39:560] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:39:560] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:40:761] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:40:761] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:40:762] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:40:762] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:41:983] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:42:161] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:43:895] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:44:406] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:44:407] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:45:433] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:49:555] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:49:831] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:49:832] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:50:906] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:50:907] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:52:163] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:52:402] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:52:402] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:52:402] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:53:515] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:53:515] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:53:705] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:53:705] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:54:799] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:55:014] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:55:014] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:55:014] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:56:225] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:56:225] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:06:155] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:07:506] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:07:506] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:07:623] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:07:623] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:16:15:538] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:16:102] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:16:103] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:16:891] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:16:892] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:18:811] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:19:300] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:19:300] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:19:301] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:20:361] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:20:362] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:20:362] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:20:362] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:16:22:407] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:22:616] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:22:616] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:23:758] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:23:758] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:26:040] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:26:533] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:26:534] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:27:716] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:27:717] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:27:717] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
